ID,X,Y,V,eV,VI,eVI,MP,sel
183,371.1,478.3,25.841,0.012,0.858,0.018,1.0,1
718,547.0,431.0,25.841,0.012,1.102,0.017,1.0,1
404,436.5,464.1,25.845,0.012,0.847,0.018,1.0,1
392,434.8,390.0,25.86,0.012,0.468,0.022,1.0,1
554,481.9,445.4,25.862,0.012,0.002,0.029,1.0,1
776,581.5,393.5,25.862,0.013,0.29,0.026,1.0,1
414,439.1,474.1,25.867,0.012,0.835,0.018,1.0,1
188,372.5,324.0,25.879,0.012,0.634,0.02,1.0,1
344,421.4,513.3,25.898,0.013,0.32,0.025,1.0,1
216,380.8,366.4,25.905,0.013,0.926,0.018,1.0,1
540,476.6,414.8,25.913,0.012,0.62,0.021,1.0,1
504,466.1,369.9,25.914,0.013,0.938,0.018,1.0,1
375,429.8,535.3,25.917,0.013,1.033,0.018,1.0,1
54,310.3,444.4,25.93,0.013,0.544,0.022,1.0,1
486,460.3,417.5,25.936,0.012,0.702,0.02,1.0,1
531,473.1,380.5,25.936,0.013,0.972,0.018,1.0,1
36,300.9,412.6,25.937,0.013,1.076,0.018,1.0,1
784,583.1,468.0,25.948,0.013,0.606,0.022,1.0,1
564,485.4,475.1,25.949,0.013,0.821,0.02,1.0,1
231,385.4,396.6,25.951,0.013,0.758,0.021,1.0,1
473,456.7,398.9,26.004,0.013,0.894,0.019,1.0,1
282,403.1,399.5,26.015,0.013,0.933,0.019,1.0,1
110,335.8,335.5,26.021,0.014,0.703,0.023,1.0,1
463,454.6,473.2,26.067,0.014,0.791,0.022,1.0,1
267,397.4,397.2,26.084,0.014,0.597,0.024,1.0,1
333,417.9,381.3,26.092,0.014,0.689,0.023,1.0,1
582,491.7,287.2,26.096,0.015,1.129,0.021,1.0,1
761,573.7,419.3,26.098,0.015,0.837,0.023,1.0,1
130,347.7,504.7,26.099,0.014,-0.096,0.038,1.0,1
701,540.3,336.2,26.107,0.015,0.506,0.027,1.0,1
532,473.7,436.7,26.114,0.014,0.257,0.03,1.0,1
78,321.9,317.9,26.128,0.015,0.643,0.025,1.0,1
